amount,category,date,line_item,project_id,txn_id,unit_price,vendor
7717,Subcontractor,2026-03-13,,279,TXN-9114,,Reliable Roofing Supply
7792,Subcontractor,2026-04-25,,279,TXN-9115,,Reliable Roofing Supply
5666,Subcontractor,2026-06-19,,279,TXN-9116,,Metro Paint & Finishes
6773,Subcontractor,2026-06-16,,279,TXN-9117,,ProBuild Materials
30401,Subcontractor,2026-02-15,,279,TXN-9118,,GTA Plumbing Supply Co.
20343,Materials,2026-06-01,,283,TXN-9119,,Northside Concrete
16266,Subcontractor,2026-07-11,,283,TXN-9120,,Precision Cabinetry Ltd.
10597,Subcontractor,2026-05-31,,283,TXN-9121,,Superior Drywall & Insulation
16687,Materials,2026-04-06,,283,TXN-9122,,Superior Drywall & Insulation
10395,Materials,2026-08-05,,283,TXN-9123,,GTA Plumbing Supply Co.
10452,Materials,2026-04-06,,283,TXN-9124,,Apex Tool Rental
52360,Subcontractor,2026-03-14,,283,TXN-9125,,Apex Tool Rental
2440.0,Materials,2026-02-02,2x6 spruce framing lumber (per bundle of 40),,TXN-9126,61.0,Ontario Lumber Supply
2500.0,Materials,2026-04-03,2x6 spruce framing lumber (per bundle of 40),,TXN-9127,62.5,Ontario Lumber Supply
2600.0,Materials,2026-06-02,2x6 spruce framing lumber (per bundle of 40),,TXN-9128,65.0,Ontario Lumber Supply
2720.0,Materials,2026-07-17,2x6 spruce framing lumber (per bundle of 40),,TXN-9129,68.0,Ontario Lumber Supply
2800.0,Materials,2026-08-21,2x6 spruce framing lumber (per bundle of 40),,TXN-9130,70.0,Ontario Lumber Supply
